Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"Targeting of military personnel, government officials, employees of human rights and other nonprofit organizations, and students in Afghanistan, India, Pakistan, Saudi Arabia, and the United Arab Emirates (UAE)",8/4/2022,APT 36,A Pakistani advanced persistent threat actor used emails and social media to target people online and plant malware on their devices.,Unknown,"Military personnel, government officials, employees of human rights and other nonprofit organizations, and students in Afghanistan, India, Pakistan, Saudi Arabia, and the UAE",Pakistan,Espionage,"Government, Civil society",https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,,
Targeting of Asian and Australian governments and government partners,11/18/2022,Mustang Panda,"China-affiliated APT Mustang Panda conducted a spear-fishing campaign against several Asian governments starting in March 2022. Mustang Panda used two new malware families, Toneins and Toneshell, in the campaign.
?",Unknown,"Asian government agencies??including Japan, Myanmar, the Philippines, and Taiwan??and the Australian government",China,Espionage,Government,https://www.trendmicro.com/en_us/research/22/k/earth-preta-spear-phishing-governments-worldwide.html,,
"Targeting of Middle Eastern governments, foreign policy think tanks, and a state-affiliated airline",2/8/2022,Believed to be the work of Palestine's government,"The Palestinian threat actor Molerats targeted Middle Eastern governments, foreign policy think tanks, and a state-affiliated airline with spear-phishing emails containing a remote access Trojan. To avoid detection, Molerats used geofencing and URL redirects to legitimate sites. The hackers masqueraded as the site Quora and also created target-specific lures that it delivered to organizations in the form of Dropbox and WordPress URLs.?",,"Middle Eastern governments, foreign policy think tanks, and a state-affiliated airline","Palestine, State of",Espionage,,https://www.proofpoint.com/us/blog/threat-insight/ugg-boots-4-sale-tale-palestinian-aligned-espionage,,
Targeting of Ukrainian institutions and U.S. and European foreign policy institutions and think tanks,4/7/2022,APT 28,"Russian threat actor APT 28 targeted Ukrainian media organizations, government institutions, and foreign policy think tanks in the United States and the European Union with attempts to establish access to victims??systems, gain tactical information related to the invasion, and exfiltrate other sensitive information. Microsoft assumed control of seven of APT 28?? internet domains used in the attacks, redirecting site traffic to a sinkhole.",,Ukrainian institutions including media organizations and government institutions and think tanks in the United States and the European Union involved in foreign policy,Russian Federation,Espionage,"Government, Civil society",https://blogs.microsoft.com/on-the-issues/2022/04/07/cyberattacks-ukraine-strontium-russia/,,
Targeting of major telecommunications and network service providers,6/8/2022,Believed to be the work of the Chinese government,Chinese-backed threat actors identified vulnerabilities to gain access to major telecommunication companies and network service providers to access and exfiltrate victim data.,Confirmation   https://www.cisa.gov/uscert/ncas/alerts/aa22-158a,Public and private telecommunications providers and network service providers in the United States.,China,Espionage,Private sector,https://www.bleepingcomputer.com/news/security/us-chinese-govt-hackers-breached-telcos-to-snoop-on-network-traffic/,https://www.cisa.gov/uscert/ncas/alerts/aa22-158a,
APT 42,9/7/2022,"Iran, APT 35","APT 42 has a wide variety of targets and typically aims to access the networks of organizations and individuals who oppose the Iranian regime. Some overlap also exists between APT 42 and an Iranian-sponsored ransomware actor, UNC2448.",Unknown,"Think tanks, Western government officials, journalists, pharmaceutical companies, researchers, former Iranian government officials, Iranians living abroad, and countries such as the United States, Australia, Bulgaria, Iran, Israel, Italy, Malaysia, Norway",Iran (Islamic Republic of),Espionage,"Civil society, Private sector, Government",https://www.mandiant.com/resources/blog/apt42-charms-cons-compromises,,
Targeting of Amnesty International Canada,12/5/2022,"Believed to be the work of the Chinese government
?",Chinese threat actors compromised the networks of Amnesty International Canada to steal information on Amnesty's investigations into Chinese human rights abuses.,Unknown,Amnesty International Canada,China,Espionage,Civil society,https://amnesty.ca/news/news-releases/cyber-breach-statement/,,
Ukrainian IT Army,2/28/2022,,The Ukrainian IT Army is a threat actor comprised of international and Ukrainian volunteer hackers working in collaboration with officials from Ukraine's defense ministry to target Russian infrastructure and websites. The IT Army is organized through a Telegram channel where new Russian targets are listed for volunteers to attack.?,,Russian infrastructure and financial services,Ukraine,Denial of service,"Government, Private sector",https://www.kmu.gov.ua/en/news/mincifri-it-armiya-blokuye-rosijski-sajti-za-dekilka-hvilin-golovni-peremogi-ukrayini-na-kiberfronti,https://www.reuters.com/technology/ukrainian-cyber-resistance-group-targets-russian-power-grid-railways-2022-03-01/,https://www.forbes.com/sites/thomasbrewster/2022/02/28/moscow-exchange-and-sberbank-websites-knocked-offline-was-ukraines-cyber-army-responsible/?sh=39701bf77cae
"Targeting of Ukrainian, Latvian, and Lithuanian computer systems",2/23/2022,Sandworm,"Russian threat actors targeted computer systems in Ukraine, Latvia, and Lithuania with a HermeticWiper malware attack. The malware was aimed at Windows devices, corrupting systems??master boot records, displaying signs of ransomware as a decoy, and destroying stored data.",,"Ukrainian, Latvian, and Lithuanian computer systems owned by banks and government contractors, as well as systems used by the defense, aviation, and IT sectors.",Russian Federation,Data destruction,"Government, Private sector",https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/ukraine-wiper-malware-russia,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd,
"Targeting of government, military, and energy sectors in Pakistan",7/13/2022,Confucius,"An Indian threat actor, Confucius, launched a spear-phishing campaign against military and government officials in Pakistan to steal information.",Unknown,"The government, military, and energy sectors in Pakistan",India,Espionage,Government,https://www.globaltimes.cn/page/202207/1270391.shtml,,
Targeting of Myanmar government agencies,10/6/2022,Mustang Panda,"Mustang Panda launched a watering-hole attack by impersonating Burmese news outlets to gain access to Myanmar's government networks.
?",Unknown,Myanmar government agencies,China,Espionage,Government,https://blogs.blackberry.com/en/2022/10/mustang-panda-abuses-legitimate-apps-to-target-myanmar-based-victims,,
Targeting of transportation companies via UEFI firmware implant,1/20/2022,Winnti Umbrella,"The Winnti group is suspected of deploying an advanced Unified Extensible Firmware Interface (UEFI) implant, dubbed Moonbounce, to the systems of a transportation company. Moonbounce is highly targeted and was likely created to access the networks of a small number of institutions and companies.?",,"A transportation company, as well as other targets",China,Espionage,Private sector,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/01/19115831/MoonBounce_technical-details_eng.pdf,,
Targeting of Viasat's satellite broadband service,3/5/2022,Believed to be the work of Russia's government,"The Russian military intelligence agency, known as GRU, targeted the internet provider Viasat?? satellite modems with a wiper that caused widespread communication outages??hroughout Ukraine on February 24, the same day Russian forces invaded the country.? The attack caused a loss in military communications at the start of the war and affected other government services. The outage also affected thousands of Viasat customers across Eastern and Central Europe.?",,Users of Viasat's satellite broadband service in Eastern and Central Europe,Russian Federation,Sabotage,"Government, Private sector, Military",https://web.archive.org/web/20220330125237/https://www.viasat.com/about/newsroom/blog/ka-sat-network-cyber-attack-overview/,https://www.washingtonpost.com/national-security/2022/03/24/russian-military-behind-hack-satellite-communication-devices-ukraine-wars-outset-us-officials-say/,https://www.state.gov/attribution-of-russias-malicious-cyber-activity-against-ukraine/
Targeting of Ukrainian agricultural firm,4/27/2022,Sandworm,"Sandworm targeted a Ukrainian agricultural firm?? network by placing a file encryptor on its network, leaving it vulnerable to future destruction. Assessments indicate Sandworm intended to disrupt grain production and exports.",,Ukrainian agricultural firm,Russian Federation,Data destruction,Private sector,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd,,
Targeting of military and public institutions in Afghanistan and several east European countries,8/7/2022,APT 18,"The attackers sent phishing emails containing a malicious Microsoft Word document, which installed multiple Backdoors on targeted systems. The group likely used that access to conduct espionage.",Unknown,Manufacturers of military products and military contractors in Afghanistan and Eastern Europe,China,Espionage,"Government, Military",https://www.kaspersky.com/about/press-releases/2022_golden-ticket-for-industrial-espionage-apt-group-takes-over-it-infrastructure,https://www.bleepingcomputer.com/news/security/chinese-hackers-use-new-windows-malware-to-backdoor-govt-defense-orgs/,
